Date,Australia,Fiji,China,India,UK,US
2011/08,36595,4450,5246,2619,15239,9449
2011/09,31550,3255,6526,2858,11789,8553
2011/10,35513,2827,7281,3922,8658,8034
2011/11,31648,2301,7802,5121,5094,5883
2011/12,37006,3129,12479,8766,7329,6334
2012/01,35929,3438,15689,8461,6200,6356
2012/02,24930,1377,8858,6213,2985,4078
2012/03,26367,1445,5545,4225,4217,4125
2012/04,34237,2418,6583,3547,8464,7563
2012/05,29306,2775,6288,2740,11892,7696
2012/06,32598,4120,6449,2837,16983,10753
2012/07,40716,5490,6421,2901,17630,13387
2012/08,35274,4177,5194,2812,14845,10825
2012/09,35321,3775,6433,3249,14363,10469
2012/10,39343,3865,7259,3932,9359,9490
