date,rate
2017/9/14,2.2
2017/9/15,2.2
2017/9/18,2.23
2017/9/19,2.24
2017/9/20,2.28
2017/9/21,2.27
2017/9/22,2.26
2017/9/25,2.22
2017/9/26,2.24
2017/9/27,2.31
2017/9/28,2.31
2017/9/29,2.33
2017/10/2,2.34
2017/10/3,2.33
2017/10/4,2.33
